pSymbol,pGroup,pExchSeg,pInstType,pSymbolName,pTrdSymbol,pOptionType,pScripRefKey,pISIN,pAssetCode,pSubGroup,pCombinedSymbol,pDesc,pAmcCode,pContractId,dTickSize ,lLotSize,lExpiryDate ,lMultiplier ,lPrecision,dStrikePrice;,pExchange,pInstName,pExpiryDate,pIssueDate,pMaturityDate,pListingDate,pNoDelStartDate,pNoDelEndDate,pBookClsStartDate,pBookClsEndDate,pRecordDate,pCreditRating,pReAdminDate,pExpulsionDate,pLocalUpdateTime,pDeliveryUnits,pPriceUnits,pLastTradingDate,pTenderPeridEndDate,pTenderPeridStartDate,pSellVarMargin,pBuyVarMargin,pInstrumentInfo,pRemarksText,pSegment,pNav,pNavDate,pMfAmt,pSipSecurity,pFaceValue,pTrdUnits,pExerciseStartDate,pExerciseEndDate,pElmMargin,pVarMargin,pTotProposedLimitValue,pScripBasePrice,pSettlementType,pCurrectionTime,iPermittedToTrade,iBoardLotQty ,iMaxOrderSize ,iLotSize,dOpenInterest ,dHighPriceRange ,dLowPriceRange ,dPriceNum   ,dGenDen,dGenNum,dPriceQuatation ,dIssuerate ,dPriceDen,dWarningQty ,dIssueCapital ,dExposureMargin ,dMinRedemptionQty ,lFreezeQty
834725,,bse_fo,SO,TIINDIA,TIINDIA25SEP2850CE,CE,TIINDIA25SEP252850.00CE,,540762,,,TIINDIA25SEP2850CE,,,5,200,1758824999,1,2,285000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,200,0,75550,15220,1,1,1,0,0,1,0,-1,1,0,100000000
860860,,bse_fo,SO,KOTAKBANK,KOTAKBANK25SEP1940PE,PE,KOTAKBANK25SEP251940.00PE,,500247,,,KOTAKBANK25SEP1940PE,,,5,400,1758824999,1,2,194000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,400,0,2080,5,1,1,1,0,0,1,0,-1,1,0,12000
841990,,bse_fo,IO,SENSEX,SENSEX29DEC83000CE,CE,SENSEX27DEC2983000.00CE,,1,,,SENSEX29DEC83000CE,,,5,20,1893090599,1,2,8.3e+06,BSE,IO,1893090599,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1893024000,1893024000,,,,,Cash,,0,1,0.00,20,0,2.20772e+06,1.71661e+06,1,1,1,0,0,1,0,-1,1,0,1000
876099,,bse_fo,SO,PFC,PFC25NOV320CE,CE,PFC27NOV25320.00CE,,532810,,,PFC25NOV320CE,,,5,1300,1764268199,1,2,32000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,1300,0,13415,6045,1,1,1,0,0,1,0,-1,1,0,124000
869665,,bse_fo,SO,YESBANK,YESBANK25NOV12CE,CE,YESBANK27NOV2512.00CE,,532648,,,YESBANK25NOV12CE,,,5,31100,1764268199,1,2,1200,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,31100,0,2955,5,1,1,1,0,0,1,0,-1,1,0,100000000
848047,,bse_fo,SO,BOSCHLTD,BOSCHLTD25SEP37000PE,PE,BOSCHLTD25SEP2537000.00PE,,500530,,,BOSCHLTD25SEP37000PE,,,5,25,1758824999,1,2,3.7e+06,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,25,0,12265,5,1,1,1,0,0,1,0,-1,1,0,1500
864588,,bse_fo,SO,FORTIS,FORTIS25SEP990CE,CE,FORTIS25SEP25990.00CE,,532843,,,FORTIS25SEP990CE,,,5,775,1758824999,1,2,99000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,775,0,2405,5,1,1,1,0,0,1,0,-1,1,0,100000000
875054,,bse_fo,IO,SENSEX,SENSEX25O1673300PE,PE,SENSEX16OCT2573300.00PE,,1,,,SENSEX25O1673300PE,,,5,20,1760639399,1,2,7.33e+06,BSE,IO,1760639399,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1760572800,1760572800,,,,,Cash,,0,1,0.00,20,0,2005,5,1,1,1,0,0,1,0,-1,1,0,1000
866310,,bse_fo,SO,SAIL,SAIL25NOV112.5CE,CE,SAIL27NOV25112.50CE,,500113,,,SAIL25NOV112.5CE,,,5,4700,1764268199,1,2,11250,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,4700,0,3845,1520,1,1,1,0,0,1,0,-1,1,0,320000
867781,,bse_fo,SO,TIINDIA,TIINDIA25NOV3300PE,PE,TIINDIA27NOV253300.00PE,,540762,,,TIINDIA25NOV3300PE,,,5,200,1764268199,1,2,330000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,200,0,31715,5630,1,1,1,0,0,1,0,-1,1,0,100000000
878233,,bse_fo,SO,LTF,LTF25SEP247.5PE,PE,LTF25SEP25247.50PE,,533519,,,LTF25SEP247.5PE,,,5,4462,1758824999,1,2,24750,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,4462,0,2360,5,1,1,1,0,0,1,0,-1,1,0,267720
835427,,bse_fo,SO,HAL,HAL25SEP4700CE,CE,HAL25SEP254700.00CE,,541154,,,HAL25SEP4700CE,,,5,150,1758824999,1,2,470000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,150,0,42875,5,1,1,1,0,0,1,0,-1,1,0,9000
849468,,bse_fo,SF,RBLBANK,RBLBANK25OCTFUT,XX,RBLBANK30OCT25FUT,,540065,,,RBLBANK25OCTFUT,,,5,3175,1761848999,1,2,0,BSE,SF,1761848999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1761782400,1761782400,,,,,Physical,,0,1,0.00,3175,0,29750,24340,1,1,1,0,0,1,0,-1,1,0,150000
866034,,bse_fo,SO,BANDHANBNK,BANDHANBNK25NOV180CE,CE,BANDHANBNK27NOV25180.00CE,,541153,,,BANDHANBNK25NOV180CE,,,5,3600,1764268199,1,2,18000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,3600,0,2560,5,1,1,1,0,0,1,0,-1,1,0,100000
845400,,bse_fo,SO,DRREDDY,DRREDDY25SEP1200CE,CE,DRREDDY25SEP251200.00CE,,500124,,,DRREDDY25SEP1200CE,,,5,625,1758824999,1,2,120000,BSE,SO,1758824999,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1758758400,1758758400,,,,,Physical,,0,1,0.00,625,0,17605,4150,1,1,1,0,0,1,0,-1,1,0,5000
871599,,bse_fo,SO,ICICIBANK,ICICIBANK25NOV1390CE,CE,ICICIBANK27NOV251390.00CE,,532174,,,ICICIBANK25NOV1390CE,,,5,700,1764268199,1,2,139000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,700,0,8930,1350,1,1,1,0,0,1,0,-1,1,0,28000
877384,,bse_fo,SO,NATIONALUM,NATIONALUM25NOV230CE,CE,NATIONALUM27NOV25230.00CE,,532234,,,NATIONALUM25NOV230CE,,,5,3750,1764268199,1,2,23000,BSE,SO,1764268199,,,,,,,,,,,,,,,,,,,,,,FO,,,,,,,1764201600,1764201600,,,,,Physical,,0,1,0.00,3750,0,2965,5,1,1,1,0,0,1,0,-1,1,0,300000
